Entity,Code,Year,Real GDP per capita 
United Kingdom,GBR,1270,805.91998
United Kingdom,GBR,1271,796.29999
United Kingdom,GBR,1272,824.89001
United Kingdom,GBR,1273,776.84998
United Kingdom,GBR,1274,772.75
United Kingdom,GBR,1275,881.90997
United Kingdom,GBR,1276,774.90002
United Kingdom,GBR,1277,826.15997
United Kingdom,GBR,1278,855.21002
United Kingdom,GBR,1279,708.71997
United Kingdom,GBR,1280,715.38
United Kingdom,GBR,1281,755.87
United Kingdom,GBR,1282,729.02002
United Kingdom,GBR,1283,689.13
United Kingdom,GBR,1284,708.59998
United Kingdom,GBR,1285,713.41998
United Kingdom,GBR,1286,699.29999
United Kingdom,GBR,1287,761.09998
United Kingdom,GBR,1288,733.67999
United Kingdom,GBR,1289,673.10999
United Kingdom,GBR,1290,678.76001
United Kingdom,GBR,1291,680.42999
United Kingdom,GBR,1292,716.96997
United Kingdom,GBR,1293,734.25
United Kingdom,GBR,1294,729.08002
United Kingdom,GBR,1295,781.17999
United Kingdom,GBR,1296,812.81
United Kingdom,GBR,1297,778.09998
United Kingdom,GBR,1298,818.84998
United Kingdom,GBR,1299,788.97998
United Kingdom,GBR,1300,783.94
United Kingdom,GBR,1301,789.84998
United Kingdom,GBR,1302,810.66998
United Kingdom,GBR,1303,844.70001
United Kingdom,GBR,1304,764.48999
United Kingdom,GBR,1305,786.07001
United Kingdom,GBR,1306,763.76001
United Kingdom,GBR,1307,801.01001
United Kingdom,GBR,1308,810.83002
United Kingdom,GBR,1309,831.23999
United Kingdom,GBR,1310,820.58002
United Kingdom,GBR,1311,849.87
United Kingdom,GBR,1312,827.77002
United Kingdom,GBR,1313,842.88
United Kingdom,GBR,1314,843.52002
United Kingdom,GBR,1315,758.28998
United Kingdom,GBR,1316,725.14001
United Kingdom,GBR,1317,768.48999
United Kingdom,GBR,1318,859.01001
United Kingdom,GBR,1319,873.95001
United Kingdom,GBR,1320,856.31
United Kingdom,GBR,1321,733.60999
United Kingdom,GBR,1322,782.07001
United Kingdom,GBR,1323,821.89001
United Kingdom,GBR,1324,758.60999
United Kingdom,GBR,1325,831.71997
United Kingdom,GBR,1326,841.79999
United Kingdom,GBR,1327,826.76001
United Kingdom,GBR,1328,767.35999
United Kingdom,GBR,1329,806.63
United Kingdom,GBR,1330,785.03998
United Kingdom,GBR,1331,747.67999
United Kingdom,GBR,1332,786.39001
United Kingdom,GBR,1333,809.34003
United Kingdom,GBR,1334,782.08002
