year,gdp,pop
1270,3518000000,4365000
1271,3481000000,4372000
1272,3612000000,4379000
1273,3407000000,4385000
1274,3394000000,4392000
1275,3880000000,4399000
1276,3414000000,4406000
1277,3646000000,4413000
1278,3780000000,4420000
1279,3137000000,4427000
1280,3187000000,4455000
1281,3390000000,4484000
1282,3290000000,4513000
1283,3130000000,4542000
1284,3239000000,4572000
1285,3283000000,4601000
1286,3238000000,4631000
1287,3547000000,4661000
1288,3441000000,4691000
1289,3178000000,4721000
1290,3225000000,4751000
1291,3231000000,4749000
1292,3403000000,4746000
1293,3483000000,4744000
1294,3457000000,4741000
1295,3702000000,4739000
1296,3850000000,4736000
1297,3683000000,4734000
1298,3874000000,4731000
1299,3731000000,4729000
1300,3705000000,4726000
1301,3731000000,4724000
1302,3828000000,4721000
1303,3986000000,4719000
1304,3606000000,4716000
1305,3706000000,4714000
1306,3598000000,4711000
1307,3772000000,4709000
1308,3816000000,4706000
1309,3910000000,4704000
1310,3858000000,4702000
1311,3994000000,4699000
1312,3888000000,4697000
1313,3957000000,4694000
1314,3957000000,4692000
1315,3556000000,4689000
1316,3356000000,4628000
1317,3511000000,4568000
1318,3873000000,4509000
1319,3890000000,4451000
1320,3762000000,4393000
1321,3181000000,4336000
1322,3347000000,4280000
1323,3472000000,4224000
1324,3163000000,4169000
1325,3423000000,4115000
1326,3488000000,4144000
1327,3449000000,4172000
1328,3223000000,4200000
1329,3411000000,4229000
1330,3343000000,4258000
1331,3205000000,4287000
1332,3394000000,4317000
1333,3517000000,4346000
1334,3422000000,4376000
1335,3299000000,4406000
1336,3476000000,4436000
1337,3876000000,4466000
1338,3976000000,4497000
1339,3265000000,4528000
1340,3680000000,4559000
1341,3741000000,4590000
1342,3940000000,4621000
1343,3854000000,4653000
1344,4140000000,4685000
1345,3879000000,4717000
1346,3709000000,4749000
1347,3877000000,4781000
1348,4000000000,4814000
1349,3062000000,3922000
1350,2841000000,3195000
1351,2674000000,2603000
1352,2767000000,2599000
1353,2771000000,2595000
1354,2650000000,2591000
1355,2727000000,2587000
1356,2686000000,2583000
1357,2733000000,2579000
1358,2743000000,2575000
1359,2768000000,2571000
1360,2746000000,2567000
1361,2645000000,2563000
1362,2572000000,2559000
1363,2493000000,2555000
1364,2765000000,2551000
1365,2638000000,2547000
1366,2714000000,2543000
1367,2543000000,2539000
1368,2521000000,2535000
1369,2351000000,2531000
1370,2630000000,2527000
1371,2541000000,2523000
1372,2295000000,2520000
1373,2481000000,2516000
1374,2278000000,2512000
1375,2194000000,2508000
1376,2532000000,2504000
1377,2603000000,2500000
1378,2555000000,2480000
1379,2327000000,2461000
1380,2414000000,2441000
1381,2458000000,2422000
1382,2523000000,2403000
1383,2393000000,2384000
1384,2687000000,2365000
1385,2431000000,2346000
1386,2698000000,2327000
1387,2698000000,2309000
1388,2477000000,2291000
1389,2546000000,2273000
1390,2370000000,2255000
1391,2637000000,2237000
1392,2952000000,2219000
1393,2427000000,2202000
1394,2652000000,2184000
1395,2525000000,2167000
1396,2527000000,2150000
1397,2459000000,2133000
1398,2619000000,2116000
1399,2501000000,2099000
1400,2419000000,2082000
1401,2386000000,2080000
1402,2448000000,2078000
1403,2486000000,2076000
1404,2526000000,2074000
1405,2529000000,2072000
1406,2344000000,2070000
1407,2345000000,2068000
1408,2168000000,2065000
1409,2242000000,2063000
1410,2381000000,2061000
1411,2330000000,2059000
1412,2275000000,2057000
1413,2061000000,2055000
1414,2341000000,2053000
1415,2393000000,2051000
1416,2307000000,2049000
1417,2520000000,2046000
1418,2390000000,2044000
1419,2516000000,2042000
1420,2453000000,2040000
1421,2289000000,2038000
1422,2363000000,2036000
1423,2492000000,2034000
1424,2510000000,2032000
1425,2422000000,2030000
1426,2348000000,2028000
1427,2285000000,2026000
1428,2144000000,2023000
1429,2217000000,2021000
1430,2280000000,2019000
1431,2289000000,2013000
1432,2259000000,2007000
1433,2324000000,2002000
1434,2461000000,1996000
1435,2184000000,1990000
1436,2033000000,1984000
1437,1950000000,1978000
1438,2045000000,1972000
1439,2134000000,1967000
1440,2152000000,1961000
1441,1901000000,1955000
1442,1967000000,1949000
1443,2377000000,1944000
1444,2372000000,1938000
1445,2044000000,1932000
1446,2172000000,1927000
1447,2223000000,1921000
1448,2295000000,1915000
1449,2104000000,1910000
1450,2167000000,1904000
1451,2177000000,1910000
1452,2154000000,1915000
1453,2178000000,1921000
1454,2184000000,1926000
1455,2173000000,1932000
1456,2202000000,1938000
1457,2019000000,1943000
1458,2142000000,1949000
1459,2114000000,1955000
1460,2119000000,1961000
1461,2132000000,1966000
1462,2336000000,1972000
1463,2370000000,1978000
1464,2166000000,1984000
1465,2108000000,1989000
1466,2096000000,1995000
1467,2165000000,2001000
1468,2265000000,2007000
1469,2239000000,2013000
