Entity,Code,year,gdp,pop
United Kingdom,GBR,1270,3518000000,4365000
United Kingdom,GBR,1271,3481000000,4372000
United Kingdom,GBR,1272,3612000000,4379000
United Kingdom,GBR,1273,3407000000,4385000
United Kingdom,GBR,1274,3394000000,4392000
United Kingdom,GBR,1275,3880000000,4399000
United Kingdom,GBR,1276,3414000000,4406000
United Kingdom,GBR,1277,3646000000,4413000
United Kingdom,GBR,1278,3780000000,4420000
United Kingdom,GBR,1279,3137000000,4427000
United Kingdom,GBR,1280,3187000000,4455000
United Kingdom,GBR,1281,3390000000,4484000
United Kingdom,GBR,1282,3290000000,4513000
United Kingdom,GBR,1283,3130000000,4542000
United Kingdom,GBR,1284,3239000000,4572000
United Kingdom,GBR,1285,3283000000,4601000
United Kingdom,GBR,1286,3238000000,4631000
United Kingdom,GBR,1287,3547000000,4661000
United Kingdom,GBR,1288,3441000000,4691000
United Kingdom,GBR,1289,3178000000,4721000
United Kingdom,GBR,1290,3225000000,4751000
United Kingdom,GBR,1291,3231000000,4749000
United Kingdom,GBR,1292,3403000000,4746000
United Kingdom,GBR,1293,3483000000,4744000
United Kingdom,GBR,1294,3457000000,4741000
United Kingdom,GBR,1295,3702000000,4739000
United Kingdom,GBR,1296,3850000000,4736000
United Kingdom,GBR,1297,3683000000,4734000
United Kingdom,GBR,1298,3874000000,4731000
United Kingdom,GBR,1299,3731000000,4729000
United Kingdom,GBR,1300,3705000000,4726000
United Kingdom,GBR,1301,3731000000,4724000
United Kingdom,GBR,1302,3828000000,4721000
United Kingdom,GBR,1303,3986000000,4719000
United Kingdom,GBR,1304,3606000000,4716000
United Kingdom,GBR,1305,3706000000,4714000
United Kingdom,GBR,1306,3598000000,4711000
United Kingdom,GBR,1307,3772000000,4709000
United Kingdom,GBR,1308,3816000000,4706000
United Kingdom,GBR,1309,3910000000,4704000
United Kingdom,GBR,1310,3858000000,4702000
United Kingdom,GBR,1311,3994000000,4699000
United Kingdom,GBR,1312,3888000000,4697000
United Kingdom,GBR,1313,3957000000,4694000
United Kingdom,GBR,1314,3957000000,4692000
